#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   7900      2.69e+00    2.18e+00      2.03e-02    2.22e-02      1.13e-01    9.17e-02    5.6e-04
   8000      2.58e+00    1.98e+00      6.65e-03    7.14e-03      1.09e-01    8.36e-02    5.6e-04
   8100      2.77e+00    2.20e+00      1.19e-02    1.04e-02      1.17e-01    9.28e-02    5.6e-04
   8200      2.81e+00    2.58e+00      2.71e-02    2.56e-02      1.18e-01    1.09e-01    5.6e-04
   8300      2.79e+00    2.33e+00      4.56e-03    4.86e-03      1.17e-01    9.82e-02    5.6e-04
   8400      2.74e+00    2.47e+00      2.54e-02    2.37e-02      1.15e-01    1.04e-01    5.6e-04
   8500      2.24e+00    2.55e+00      8.79e-03    9.59e-03      9.44e-02    1.08e-01    5.6e-04
   8600      2.18e+00    2.25e+00      1.15e-02    1.34e-02      9.20e-02    9.48e-02    5.6e-04
   8700      2.45e+00    2.05e+00      5.85e-03    6.66e-03      1.03e-01    8.66e-02    5.6e-04
   8800      2.74e+00    2.39e+00      1.04e-02    1.02e-02      1.15e-01    1.01e-01    5.6e-04
   8900      2.54e+00    2.34e+00      6.90e-03    5.48e-03      1.07e-01    9.87e-02    5.6e-04
   9000      2.67e+00    2.33e+00      5.60e-03    4.45e-03      1.12e-01    9.84e-02    5.6e-04
   9100      3.17e+00    2.63e+00      6.49e-03    4.38e-03      1.34e-01    1.11e-01    5.6e-04
   9200      2.66e+00    2.49e+00      1.82e-02    1.61e-02      1.12e-01    1.05e-01    5.6e-04
   9300      2.29e+00    2.53e+00      3.52e-03    6.00e-04      9.66e-02    1.07e-01    5.6e-04
   9400      2.37e+00    2.58e+00      9.47e-03    9.96e-03      1.00e-01    1.09e-01    5.6e-04
   9500      2.65e+00    1.97e+00      3.92e-03    1.82e-03      1.12e-01    8.28e-02    5.6e-04
   9600      2.41e+00    2.58e+00      1.16e-02    1.23e-02      1.02e-01    1.09e-01    5.6e-04
   9700      2.57e+00    2.20e+00      7.61e-03    5.95e-03      1.08e-01    9.27e-02    5.6e-04
   9800      2.18e+00    2.19e+00      4.13e-03    1.25e-03      9.18e-02    9.24e-02    5.6e-04
   9900      2.18e+00    2.21e+00      8.69e-03    8.14e-03      9.21e-02    9.32e-02    5.6e-04
  10000      2.01e+00    1.88e+00      2.31e-02    2.31e-02      1.13e-01    1.05e-01    3.2e-04
  10100      1.72e+00    1.82e+00      3.79e-03    2.06e-03      9.67e-02    1.02e-01    3.2e-04
  10200      1.67e+00    1.70e+00      6.16e-03    7.19e-03      9.39e-02    9.53e-02    3.2e-04
  10300      1.71e+00    1.60e+00      1.92e-02    1.88e-02      9.59e-02    8.95e-02    3.2e-04
  10400      1.54e+00    1.73e+00      4.22e-03    3.65e-03      8.65e-02    9.69e-02    3.2e-04
  10500      1.60e+00    1.63e+00      2.10e-03    5.33e-04      9.00e-02    9.15e-02    3.2e-04
  10600      1.61e+00    1.55e+00      1.32e-02    1.32e-02      9.02e-02    8.67e-02    3.2e-04
  10700      1.59e+00    1.37e+00      2.30e-03    4.50e-03      8.93e-02    7.67e-02    3.2e-04
  10800      1.65e+00    1.61e+00      2.94e-03    2.63e-03      9.25e-02    9.02e-02    3.2e-04
  10900      1.68e+00    1.46e+00      1.25e-02    1.33e-02      9.44e-02    8.16e-02    3.2e-04
  11000      1.60e+00    1.29e+00      2.64e-03    1.49e-03      8.97e-02    7.26e-02    3.2e-04
  11100      1.65e+00    1.44e+00      1.73e-02    1.66e-02      9.26e-02    8.05e-02    3.2e-04
  11200      1.68e+00    1.32e+00      1.07e-02    9.87e-03      9.41e-02    7.38e-02    3.2e-04
  11300      1.47e+00    1.47e+00      6.73e-03    5.62e-03      8.24e-02    8.26e-02    3.2e-04
  11400      1.57e+00    1.66e+00      8.69e-03    1.06e-02      8.82e-02    9.29e-02    3.2e-04
  11500      1.57e+00    1.50e+00      1.33e-02    1.54e-02      8.80e-02    8.37e-02    3.2e-04
  11600      1.53e+00    1.63e+00      5.81e-04    1.40e-03      8.60e-02    9.17e-02    3.2e-04
  11700      1.62e+00    1.47e+00      7.51e-03    8.73e-03      9.07e-02    8.26e-02    3.2e-04
  11800      1.58e+00    1.48e+00      1.64e-02    1.69e-02      8.83e-02    8.28e-02    3.2e-04
  11900      1.71e+00    1.81e+00      6.21e-03    6.65e-03      9.59e-02    1.02e-01    3.2e-04
  12000      1.74e+00    1.61e+00      5.85e-03    6.81e-03      9.75e-02    9.04e-02    3.2e-04
  12100      1.55e+00    1.54e+00      8.32e-03    8.53e-03      8.68e-02    8.65e-02    3.2e-04
  12200      1.63e+00    1.22e+00      3.19e-03    3.25e-03      9.17e-02    6.87e-02    3.2e-04
  12300      1.48e+00    1.63e+00      3.42e-03    2.40e-03      8.30e-02    9.17e-02    3.2e-04
  12400      1.54e+00    1.50e+00      7.02e-03    4.50e-03      8.63e-02    8.43e-02    3.2e-04
  12500      1.62e+00    1.28e+00      5.04e-03    4.49e-03      9.09e-02    7.19e-02    3.2e-04
  12600      1.68e+00    1.41e+00      1.52e-02    1.55e-02      9.39e-02    7.89e-02    3.2e-04
  12700      1.47e+00    1.46e+00      1.20e-02    1.11e-02      8.27e-02    8.20e-02    3.2e-04
  12800      1.92e+00    1.78e+00      7.36e-03    7.15e-03      1.08e-01    1.00e-01    3.2e-04
  12900      1.57e+00    1.48e+00      9.08e-04    3.58e-04      8.82e-02    8.33e-02    3.2e-04
  13000      1.67e+00    1.51e+00      1.24e-02    1.11e-02      9.34e-02    8.49e-02    3.2e-04
  13100      1.42e+00    1.52e+00      3.72e-03    6.37e-03      7.98e-02    8.53e-02    3.2e-04
  13200      1.55e+00    1.61e+00      1.34e-02    1.56e-02      8.69e-02    8.99e-02    3.2e-04
  13300      1.59e+00    1.47e+00      1.12e-02    9.74e-03      8.92e-02    8.24e-02    3.2e-04
  13400      1.54e+00    1.52e+00      1.95e-02    1.87e-02      8.62e-02    8.50e-02    3.2e-04
  13500      1.75e+00    1.45e+00      1.66e-02    1.49e-02      9.78e-02    8.09e-02    3.2e-04
  13600      1.44e+00    1.33e+00      7.73e-03    7.75e-03      8.10e-02    7.45e-02    3.2e-04
  13700      1.57e+00    1.47e+00      2.06e-03    2.89e-03      8.80e-02    8.26e-02    3.2e-04
  13800      1.63e+00    1.72e+00      1.03e-02    9.42e-03      9.16e-02    9.65e-02    3.2e-04
  13900      1.57e+00    1.47e+00      3.92e-03    6.15e-03      8.81e-02    8.24e-02    3.2e-04
  14000      1.60e+00    1.68e+00      7.19e-03    5.28e-03      8.97e-02    9.45e-02    3.2e-04
  14100      1.53e+00    1.63e+00      2.01e-03    1.18e-03      8.57e-02    9.13e-02    3.2e-04
  14200      1.57e+00    1.51e+00      6.98e-03    8.51e-03      8.83e-02    8.49e-02    3.2e-04
  14300      1.58e+00    1.36e+00      1.26e-03    1.38e-03      8.86e-02    7.63e-02    3.2e-04
  14400      1.44e+00    1.44e+00      7.03e-04    1.98e-03      8.06e-02    8.06e-02    3.2e-04
  14500      1.57e+00    1.31e+00      7.51e-03    6.07e-03      8.79e-02    7.33e-02    3.2e-04
  14600      1.47e+00    1.58e+00      1.06e-02    1.01e-02      8.23e-02    8.84e-02    3.2e-04
  14700      1.68e+00    1.39e+00      1.09e-02    9.78e-03      9.43e-02    7.82e-02    3.2e-04
  14800      1.53e+00    1.39e+00      7.64e-03    1.07e-02      8.57e-02    7.78e-02    3.2e-04
  14900      1.66e+00    1.44e+00      3.60e-03    3.18e-03      9.31e-02    8.09e-02    3.2e-04
  15000      1.18e+00    1.03e+00      2.03e-02    1.89e-02      8.69e-02    7.61e-02    1.8e-04
  15100      1.14e+00    1.02e+00      1.57e-02    1.24e-02      8.49e-02    7.55e-02    1.8e-04
  15200      1.19e+00    1.15e+00      1.24e-02    1.16e-02      8.88e-02    8.57e-02    1.8e-04
  15300      1.06e+00    1.08e+00      5.45e-03    4.47e-03      7.89e-02    8.06e-02    1.8e-04
  15400      1.06e+00    1.00e+00      1.57e-02    1.53e-02      7.86e-02    7.42e-02    1.8e-04
